Sección;Capítulo;Partida;Subpartida;Fracción;Region ;Pais ;Gasto
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Portugal;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Reino Unido;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;República Checa;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;República Eslovaca;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Rumania;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Serbia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Suecia;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Suiza;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Turquía;
Sección II  Productos del reino vegetal;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;06  Plantas vivas y productos de la floricultura;Europe;Ucrania;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;África y Oceanía;África y Oceanía;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;América del Norte;América del Norte;0,00
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Asia;Asia;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Latinoamérica y Antillas;Latinoamérica y Antillas;0,00
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Otros;Otros;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;No identificados de la U.E.;0,00
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Albania;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Alemania;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Austria;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Bélgica;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Bielorrusia;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Bosnia y Herzegovina;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Bulgaria;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Chipre;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Croacia;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Dinamarca;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;Eslovenia;
Sección II  Productos del reino vegetal;07  Hortalizas, plantas, raíces y tubérculos alimentic...;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;0701 - Papas (patatas) frescas o refrigeradas;Europe;España;
